group,scenario,backend,rep,check,passed,detail,missing,extra,corrupt
blob,blob/nix-closure,amber-go-s3,0,fresh_pull_restores_correctly,true,"8 of the 8 delivered reference(s) restored from the downloaded store and matched byte for byte; 8 of them also reproduced the NAR hash the source Nix store recorded, which is every one of them; 0 unverified",0,0,0
blob,blob/nix-closure,amber-go-s3,0,incremental_pull_restores_correctly,true,"17 of the 17 delivered reference(s) restored from the downloaded store and matched byte for byte; 17 of them also reproduced the NAR hash the source Nix store recorded, which is every one of them; 0 unverified",0,0,0
blob,blob/nix-closure,amber-go-s3,0,retained_content_valid_after_cleanup,true,"9 of the 9 delivered reference(s) restored from the downloaded store and matched byte for byte; 9 of them also reproduced the NAR hash the source Nix store recorded, which is every one of them; 0 unverified",0,0,0
blob,blob/nix-closure,amber-go-s3,0,dropped_references_are_absent,true,"the store lists exactly what retention should have left: retained 9 (nixpath-85isfxk8vh94rs8sqabjpbcj9sdxn3vw-amber-bench-mid-a-smoke, nixpath-b1s531nnp12fsa45ybdas49dy42a28v7-amber-bench-data-text-g2-smoke, nixpath-cqa27c2j3j8lah2y78wmmnn155pzh1gj-amber-bench-data-blob-g1-smoke, nixpath-hg39mscg3a5ii2idh96gnm3fmzyiz9cj-amber-bench-lib-late-smoke, nixpath-kqlq8y2qpin7da6xhkz2fzwqlq7lnz5n-amber-bench-lib-extra-smoke, nixpath-p62b4x8ynxq6n8lzzkpcfay0qwp2spjz-amber-bench-lib-shared-smoke, nixpath-q0b26i8gjpj5zyhqx8mngahg31dl9qsl-amber-bench-lib-core-smoke, nixpath-va92drjki75lypdl3lgbl1kzhxakdiys-amber-bench-mid-b-smoke, nixpath-ysxxyx9gy9y34lnwsxr04z4dwhwv43wn-amber-bench-app-gen2-smoke), dropped 2 (nixpath-jzs0r13qazz57ymhcbd4k1yad4156g2d-amber-bench-data-text-g1-smoke, nixpath-x2g1v81yvf9gikpv2b2jbilpc02af154-amber-bench-app-gen1-smoke); absence was read from the backend's own successful listing, not inferred from a failed command",0,0,0
blob,blob/nix-closure,amber-go-s3,0,missing_object_is_detected,true,"after deleting nix-closure/amber-go-s3/rep0/store/packstore/0000000000000001.seg, the backend failed rather than returning an incomplete result: /nix/store/y73dri4kbmb0jx08kdi93cyyxphjk2d6-amber-store-go-0.0.7-4ed4660657b1/bin/amber-store --store <scratch>/runs/blob-nix-closure-amber-go-s3-rep0/pulled-probe --segment-size 8388608 export ref:nixpath-85isfxk8vh94rs8sqabjpbcj9sdxn3vw-amber-bench-mid-a-smoke: exited 1",0,0,0
nix,nix/closure,amber-go,0,closure_matches_source,true,"all 9 store paths of generation 2 came back with identical bytes, permissions, symlink targets and timestamps, and the destination holds nothing else",0,0,0
nix,nix/closure,amber-go,0,closure_is_complete,true,"every reference of every retained path is itself retained. These cores store trees and have no notion of references between roots, so this was checked by the harness against the graph recorded from the source store, not by the store under test.",0,0,0
nix,nix/closure,amber-go,0,nar_hashes_match_recomputed,true,the NAR hash recomputed with `nix hash path` over every one of the 9 restored store paths equals the hash the source Nix store recorded. These cores register no NAR hashes themselves — see the unsupported nar_and_reference_registration operation — so this was recomputed from the restored bytes.,0,0,0
nix,nix/closure,amber-go,0,post_gc_closure_matches_source,true,"all 9 store paths of generation 2 came back with identical bytes, permissions, symlink targets and timestamps, and the destination holds nothing else",0,0,0
nix,nix/closure,amber-go,0,post_gc_closure_is_complete,true,"every reference of every retained path is itself retained. These cores store trees and have no notion of references between roots, so this was checked by the harness against the graph recorded from the source store, not by the store under test.",0,0,0
nix,nix/closure,amber-go,0,post_gc_nar_hashes_match_recomputed,true,the NAR hash recomputed with `nix hash path` over every one of the 9 restored store paths equals the hash the source Nix store recorded. These cores register no NAR hashes themselves — see the unsupported nar_and_reference_registration operation — so this was recomputed from the restored bytes.,0,0,0
