run_valid,group,scenario,backend,op,ok,excluded_invalid_samples,unsupported,failed,reason,metric,unit,n,min,median,p95,max,mean,stddev,cv,method
true,blob,blob/nix-closure,amber-rust-s3,push_initial,3,0,0,0,,wall_ns,ns,3,188952142,189706940,193342559,193342559,190667213.66666666,2347452.7672867742,0.01231177989200965,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,push_initial,3,0,0,0,,cpu_ns,ns,3,145550000,145760000,146934000,146934000,146081333.33333334,745858.7891372825,0.005105777528983506,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,push_initial,3,0,0,0,,max_rss_bytes,bytes,3,66560000,87498752,92999680,92999680,82352810.66666667,13950795.811715594,0.1694027890339188,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,push_initial,3,0,0,0,,throughput_bytes_per_s,bytes/s,3,584848724.3825091,596057450.5076092,598438259.5673354,598438259.5673354,593114811.4858179,7256942.189678412,0.012235307648950753,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,push_initial,3,0,0,0,,logical_bytes,bytes,3,113076149,113076191,113076235,113076235,113076191.66666667,43.00387579432037,0.000000380308844509815,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,push_noop,3,0,0,0,,wall_ns,ns,3,18736983,19238667,20540373,20540373,19505341,930800.8056141766,0.04772030417792627,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,push_noop,3,0,0,0,,cpu_ns,ns,3,24590000,25016000,25659000,25659000,25088333.333333332,538158.2790716253,0.021450539257488556,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,push_noop,3,0,0,0,,max_rss_bytes,bytes,3,66822144,87498752,92999680,92999680,82440192,13802449.772160882,0.1674237945996157,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,push_noop,3,0,0,0,,throughput_bytes_per_s,bytes/s,3,145274.86915646566,155104.30114518848,159257.22940560922,159257.22940560922,153212.13323575445,7180.656243152602,0.046867412465978794,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,push_noop,3,0,0,0,,logical_bytes,bytes,3,2984,2984,2984,2984,2984,0,0,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,pull_fresh,3,0,0,0,,wall_ns,ns,3,65891411,69899666,74228282,74228282,70006453,4169461.249992258,0.05955824172369164,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,pull_fresh,3,0,0,0,,cpu_ns,ns,3,70566000,71327000,82002000,82002000,74631666.66666667,6394227.109927621,0.08567713137757815,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,pull_fresh,3,0,0,0,,max_rss_bytes,bytes,3,66822144,87498752,92999680,92999680,82440192,13802449.772160882,0.1674237945996157,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,pull_fresh,3,0,0,0,,throughput_bytes_per_s,bytes/s,3,1521167969.373183,1615366130.6478918,1713633496.1775215,1713633496.1775215,1616722532.0661986,96239932.56763831,0.059527798158810874,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,pull_fresh,3,0,0,0,,logical_bytes,bytes,3,112913553,112913685,112913729,112913729,112913655.66666667,91.59330397650983,0.0000008111800422696718,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,push_incremental,3,0,0,0,,wall_ns,ns,3,170360724,174302135,176562413,176562413,173741757.33333334,3138591.0788368615,0.018064690532715734,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,push_incremental,3,0,0,0,,cpu_ns,ns,3,84358000,86822000,86954000,86954000,86044666.66666667,1462186.490613743,0.016993342495917736,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,push_incremental,3,0,0,0,,max_rss_bytes,bytes,3,67084288,87498752,92999680,92999680,82527573.33333333,13654169.642653387,0.16544978958127676,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,push_incremental,3,0,0,0,,throughput_bytes_per_s,bytes/s,3,354776251.2738201,359354387.71303636,367517239.47827315,367517239.47827315,360549292.8217099,6453994.4042858835,0.017900449488545682,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,push_incremental,3,0,0,0,,logical_bytes,bytes,3,62610503,62636237,62640151,62640151,62628963.666666664,16106.738010327645,0.00025717714404557867,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,pull_incremental,3,0,0,0,,wall_ns,ns,3,65514332,65774469,103122617,103122617,78137139.33333333,21638449.308772482,0.27692912094545435,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,pull_incremental,3,0,0,0,,cpu_ns,ns,3,59073000,60052000,61811000,61811000,60312000,1387393.599523942,0.02300360789766451,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,pull_incremental,3,0,0,0,,max_rss_bytes,bytes,3,67084288,87498752,92999680,92999680,82527573.33333333,13654169.642653387,0.16544978958127676,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,pull_incremental,3,0,0,0,,throughput_bytes_per_s,bytes/s,3,606289898.5583347,950944142.171638,954779772.4626117,954779772.4626117,837337937.7308615,200102661.9488965,0.23897479492110843,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,pull_incremental,3,0,0,0,,logical_bytes,bytes,3,62522201,62547846,62551759,62551759,62540602,16055.38828555697,0.0002567194394060513,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,retention_cleanup,3,0,0,0,,wall_ns,ns,3,195643069,196394127,198975463,198975463,197004219.66666666,1747962.3105917738,0.008872715079653348,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,retention_cleanup,3,0,0,0,,cpu_ns,ns,3,162954000,165735000,172819000,172819000,167169333.33333334,5086505.709554776,0.030427265624206046,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,retention_cleanup,3,0,0,0,,max_rss_bytes,bytes,3,67084288,87498752,92999680,92999680,82527573.33333333,13654169.642653387,0.16544978958127676,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,retention_cleanup,3,0,0,0,,throughput_bytes_per_s,bytes/s,3,653047974.0610027,661630950.9092398,664170898.8934333,664170898.8934333,659616607.9545586,5828640.266930234,0.00883640617389029,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,amber-rust-s3,retention_cleanup,3,0,0,0,,logical_bytes,bytes,3,129940433,129940433,129940523,129940523,129940463,51.96152422706632,0.0000003998871716123277,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,nix-binary-cache,push_initial,3,0,0,0,,wall_ns,ns,3,19376159104,19483431756,19516224116,19516224116,19458604992,73258638.08912781,0.0037648453277738343,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,nix-binary-cache,push_initial,3,0,0,0,,cpu_ns,ns,3,28043618000,28130488000,28167267000,28167267000,28113791000,63493000.85048745,0.0022584289984402123,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,nix-binary-cache,push_initial,3,0,0,0,,max_rss_bytes,bytes,3,412303360,413118464,414699520,414699520,413373781.3333333,1218312.723370044,0.0029472423709128036,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,nix-binary-cache,push_initial,3,0,0,0,,throughput_bytes_per_s,bytes/s,3,5590872.924570795,5600282.864254563,5631287.832348303,5631287.832348303,5607481.207057887,21147.181774452576,0.0037712443419044474,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
true,blob,blob/nix-closure,nix-binary-cache,push_initial,3,0,0,0,,logical_bytes,bytes,3,109112729,109112729,109112729,109112729,109112729,0,0,"median = lower of the two middle samples for even n; p95 = nearest-rank (sorted ascending, index ceil(0.95*n)-1); stddev = sample standard deviation with n-1 denominator (null for n < 2); cv = stddev/mean"
